Kazalnik,Pomurska,Ostale regije,Razlika
HLY,61.2,65.69166666666666,-4.49166666666666
ITM,62.2,57.7,4.5
Prehrana,76.6,75.50833333333333,1.0916666666666686
Aktivnost,63.2,58.483333333333334,4.716666666666669
Izobrazba,23.4,29.475,-6.075000000000003
Brezposelnost,6,5.075,0.9249999999999998
Delovna,57.7,66.29166666666667,-8.591666666666669
AlkBolezni,2.4,1.9833333333333334,0.4166666666666665
Opijanje,42,42.233333333333334,-0.23333333333333428
