term,Estimate,StdError,t,p
Intercept,65.31666666666668,0.5673085939028437,115.13428029939679,3.619408004701988e-14
Education (z),-0.46301180871754283,1.2150171487993342,-0.3810742993834167,0.7130688928580329
Employment (z),1.4022380765614482,0.5743872680552777,2.4412763905945423,0.04048382746887749
BMI/ITM (z),-1.683507815488838,0.7975100098538849,-2.1109550910806507,0.06777250992127445
