Determinanta,beta,R2,p
ITM,-1.5872907146832214,0.4267172480299782,0.015477203116316547
Izobrazba,1.4926186182917085,0.3773331447742683,0.025506087443394557
Delovna,1.4875122346213387,0.37475577920605463,0.026156973801767604
Brezposelnost,-0.8960096282544302,0.13597297478204293,0.2150343443797486
Aktivnost,-0.8820012339268875,0.13175455286964632,0.22284592135966413
Prehrana,0.28752134723196165,0.014001270158723322,0.700235007811002
Opijanje,0.2444415464216206,0.010119924936217224,0.7436721513764424
AlkBolezni,0.21690736974295538,0.0079684868845421,0.7718140290326434
