Skupina,HLY,ITM,Prehrana,Aktivnost,Izobrazba,Brezposelnost,Delovna,AlkBolezni,Opijanje
Ostale regije,65.64615384615385,57.62307692307692,75.46153846153847,58.361538461538466,29.615384615384617,5.069230769230769,66.23846153846154,1.9846153846153847,42.23076923076923
Pomurje,61.2,62.2,76.6,63.2,23.4,6,57.7,2.4,42
