Determinanta,r
ITM,-0.6528249796317731
Izobrazba,0.6136622844044828
Delovna,0.6112375173771931
Brezposelnost,-0.3686824774535279
Aktivnost,-0.3623286395493127
Prehrana,0.11877390152391201
Opijanje,0.10088800288447877
AlkBolezni,0.09015204224432795
